     40/99     11.3G   0.03476   0.01902  0.004992   0.05878       277       640    0.8401    0.5686    0.5639    0.3053    0.0561     0.042   0.01693
     41/99     11.3G   0.03428    0.0189  0.004667   0.05785       160       640    0.8386    0.5735    0.5698    0.3079   0.05544   0.04173    0.0172
     42/99     11.3G   0.03424   0.01882  0.004355   0.05742       226       640    0.8499    0.5445     0.548    0.3007   0.05516   0.04212   0.01816
     43/99     11.3G   0.03406   0.01901  0.004705   0.05778       181       640    0.8677    0.5613    0.5584    0.3076   0.05458   0.04099   0.01877
     44/99     11.3G   0.03433   0.01906  0.004504   0.05789       282       640    0.8663    0.5696    0.5726     0.317    0.0545   0.04216   0.01709
     45/99     11.3G   0.03268   0.01863  0.004371   0.05568       185       640    0.8584    0.5635    0.5579    0.3043   0.05471   0.04221    0.0176
     46/99     11.3G   0.03402   0.01822  0.004433   0.05667       217       640    0.8552    0.5727    0.5602      0.31   0.05394   0.04322   0.01698
     47/99     11.3G   0.03293   0.01876  0.004168   0.05586       199       640    0.8693    0.5694      0.57    0.3179   0.05397   0.04235   0.01732
     48/99     11.3G   0.03256    0.0187  0.004252   0.05551       191       640    0.8611    0.5648    0.5665    0.3126   0.05352   0.04164   0.01834
     49/99     11.3G   0.03255   0.01905    0.0042    0.0558       173       640    0.8507    0.5703    0.5667    0.3154   0.05386    0.0412   0.01867
     50/99     11.3G   0.03215   0.01791  0.004109   0.05417       225       640    0.8489     0.563    0.5648    0.3186   0.05327   0.04071   0.01807
     51/99     11.3G   0.03161   0.01817  0.004104   0.05388       197       640    0.8474     0.582    0.5703    0.3206   0.05268   0.04223   0.01773
     52/99     11.3G   0.03162   0.01719   0.00393   0.05274       177       640    0.8825    0.5648    0.5812    0.3279   0.05291   0.04231   0.01737
     53/99     11.3G   0.03169   0.01841  0.003878   0.05397       132       640    0.8461    0.5675    0.5652    0.3186   0.05344   0.04259    0.0185
     54/99     11.3G    0.0318   0.01794   0.00409   0.05383        96       640    0.8625    0.5788    0.5717    0.3213    0.0534   0.04136    0.0181
     55/99     11.3G   0.03127   0.01858   0.00357   0.05342       301       640    0.8721    0.5728    0.5732    0.3256   0.05323   0.04093   0.01748
     56/99     11.3G   0.03184   0.01788  0.003686    0.0534       160       640    0.8705     0.586    0.5801    0.3321   0.05311   0.04221   0.01819
     57/99     11.3G   0.03117   0.01781   0.00375   0.05273       162       640    0.8692    0.5799    0.5762    0.3291   0.05246   0.04149   0.01752
     58/99     11.3G   0.03128   0.01837  0.003902   0.05355       211       640    0.8598    0.5702    0.5733    0.3231   0.05288   0.04158   0.01774
     59/99     11.3G   0.03073   0.01845  0.003541   0.05271       158       640    0.8548    0.5925    0.5789    0.3295   0.05312    0.0412   0.01874
     60/99     11.3G   0.03123   0.01828  0.003315   0.05283        88       640    0.8654     0.583     0.581    0.3332   0.05247   0.04225   0.01781
     61/99     11.3G   0.03075   0.01773  0.003194   0.05167       226       640    0.8442    0.5931    0.5666     0.324   0.05276   0.04142   0.01884
     62/99     11.3G   0.02991   0.01826  0.003298   0.05147       161       640    0.8612    0.5925    0.5802    0.3332   0.05221    0.0417   0.01788
     63/99     11.3G   0.03023   0.01757  0.003594    0.0514       181       640    0.8691    0.5823    0.5771    0.3323   0.05238   0.04153   0.01865
     64/99     11.3G   0.02997   0.01843  0.003387   0.05178       128       640    0.8432    0.6021    0.5769     0.329   0.05236   0.04196   0.01837
     65/99     11.3G      0.03   0.01789  0.003205   0.05109       155       640    0.8693    0.5905    0.5861    0.3337   0.05182   0.04206   0.01793
     66/99     11.3G   0.02972   0.01858  0.003439   0.05174       187       640    0.8637    0.5999    0.5818      0.33   0.05175   0.04187   0.01855
     67/99     11.3G   0.02984   0.01758  0.002935   0.05035       145       640    0.8539    0.6038    0.5774    0.3298   0.05161     0.042   0.01827
     68/99     11.3G   0.03013   0.01862  0.003276   0.05203       141       640    0.8678    0.5892    0.5817    0.3354   0.05175   0.04179   0.01835
     69/99     11.3G   0.03003   0.01808  0.003169   0.05127       311       640    0.8607    0.5933    0.5761    0.3308   0.05171   0.04219   0.01811
     70/99     11.3G   0.02891   0.01707  0.003088   0.04907       229       640    0.8751     0.596    0.5842    0.3337     0.052   0.04225    0.0177
     71/99     11.3G   0.02937   0.01768  0.002909   0.04995       250       640    0.8701     0.595    0.5855    0.3352   0.05193   0.04239   0.01787
     72/99     11.3G   0.02936    0.0178  0.003036   0.05019       134       640    0.8654    0.6042    0.5894    0.3395   0.05165    0.0422   0.01804
     73/99     11.3G   0.02927   0.01696  0.003062   0.04928       209       640    0.8701    0.5914    0.5882    0.3338   0.05187   0.04261   0.01809
     74/99     11.3G   0.02895   0.01637  0.003057   0.04838       286       640    0.8626    0.5861    0.5782    0.3294   0.05171   0.04199   0.01906
     75/99     11.3G   0.02909   0.01703  0.002924   0.04905       178       640    0.8535    0.5991    0.5809    0.3343   0.05154     0.042   0.01939
     76/99     11.3G   0.02896   0.01641  0.002768   0.04813       108       640    0.8645    0.5908    0.5843     0.336   0.05148   0.04202   0.01866
     77/99     11.3G   0.02934   0.01737   0.00301   0.04973       184       640    0.8659    0.5999     0.586    0.3366    0.0515   0.04184   0.01873
     78/99     11.3G    0.0289   0.01717  0.002879   0.04894       125       640    0.8694    0.5956    0.5852    0.3365   0.05147   0.04318   0.01817
     79/99     11.3G   0.02799   0.01776  0.002725   0.04847       287       640    0.8655    0.5888    0.5789    0.3343   0.05167   0.04302   0.01846
     80/99     11.3G   0.02807   0.01757  0.002872   0.04851       133       640    0.8657     0.591    0.5825    0.3345   0.05124   0.04255   0.01879
     81/99     11.3G   0.02874   0.01709  0.003066    0.0489       199       640    0.8698    0.5916    0.5826    0.3348   0.05132   0.04278   0.01888
     82/99     11.3G   0.02858   0.01738  0.002626   0.04858       260       640    0.8647    0.5937    0.5782    0.3337    0.0509   0.04309   0.01835
     83/99     11.3G   0.02781   0.01687  0.003011    0.0477       201       640    0.8644    0.5951     0.579     0.336   0.05101   0.04316    0.0187
     84/99     11.3G   0.02843   0.01666  0.002749   0.04784       155       640    0.8697    0.5977    0.5847     0.338   0.05123   0.04354   0.01794
     85/99     11.3G   0.02803    0.0169  0.002484   0.04741       221       640    0.8815    0.5877    0.5831     0.338    0.0514   0.04282   0.01846
